[2026-02-15 16:12:08] Conectado ao CLP na porta COM2.
[2026-02-15 16:12:11] Monitor iniciado para 12 TAGs.
[2026-02-15 16:12:12] Alteracao salva: TAG PECAPH29 (DM 0..1) = [99, 0].
[2026-02-15 16:12:13] Alteracao salva: TAG PECAPH30 (DM 2..3) = [101, 0].
[2026-02-15 16:12:13] Alteracao salva: TAG PECAPH31 (DM 4..5) = [101, 0].
[2026-02-15 16:12:14] Alteracao salva: TAG PECAROLLERCARGA41 (DM 6..7) = [102, 0].
[2026-02-15 16:12:14] Alteracao salva: TAG PECAROLLERDESC41 (DM 8..9) = [102, 0].
[2026-02-15 16:12:15] Alteracao salva: TAG PECAROLLERCARGA42 (DM 10..11) = [103, 0].
[2026-02-15 16:12:15] Alteracao salva: TAG PECAROLLERDESC42 (DM 12..13) = [104, 0].
[2026-02-15 16:12:16] Alteracao salva: TAG PECAROLLERCARGA43 (DM 14..15) = [104, 0].
[2026-02-15 16:12:16] Alteracao salva: TAG PECAROLLERDESC43 (DM 16..17) = [105, 0].
[2026-02-15 16:12:17] Alteracao salva: TAG QUALIDADE41 (DM 18..19) = [105, 0].
[2026-02-15 16:12:17] Alteracao salva: TAG QUALIDADE42 (DM 20..21) = [112, 0].
[2026-02-15 16:12:18] Alteracao salva: TAG QUALIDADE43 (DM 22..23) = [112, 0].
[2026-02-15 16:12:19] Alteracao salva: TAG PECAPH29 (DM 0..1) = [113, 0].
[2026-02-15 16:12:20] Alteracao salva: TAG PECAPH30 (DM 2..3) = [114, 0].
[2026-02-15 16:12:20] Alteracao salva: TAG PECAPH31 (DM 4..5) = [115, 0].
[2026-02-15 16:12:21] Alteracao salva: TAG PECAROLLERCARGA41 (DM 6..7) = [115, 0].
[2026-02-15 16:12:21] Alteracao salva: TAG PECAROLLERDESC41 (DM 8..9) = [115, 0].
[2026-02-15 16:12:21] Alteracao salva: TAG PECAROLLERCARGA42 (DM 10..11) = [116, 0].
[2026-02-15 16:12:22] Alteracao salva: TAG PECAROLLERDESC42 (DM 12..13) = [116, 0].
[2026-02-15 16:12:22] Alteracao salva: TAG PECAROLLERCARGA43 (DM 14..15) = [116, 0].
[2026-02-15 16:12:22] Alteracao salva: TAG PECAROLLERDESC43 (DM 16..17) = [117, 0].
[2026-02-15 16:12:23] Alteracao salva: TAG QUALIDADE41 (DM 18..19) = [117, 0].
[2026-02-15 16:12:23] Alteracao salva: TAG QUALIDADE42 (DM 20..21) = [117, 0].
[2026-02-15 16:12:23] Alteracao salva: TAG QUALIDADE43 (DM 22..23) = [118, 0].
[2026-02-15 16:12:25] Alteracao salva: TAG PECAPH29 (DM 0..1) = [118, 0].
[2026-02-15 16:12:25] Alteracao salva: TAG PECAPH30 (DM 2..3) = [120, 0].
[2026-02-15 16:12:26] Alteracao salva: TAG PECAPH31 (DM 4..5) = [120, 0].
[2026-02-15 16:12:26] Alteracao salva: TAG PECAROLLERCARGA41 (DM 6..7) = [120, 0].
[2026-02-15 16:12:26] Alteracao salva: TAG PECAROLLERDESC41 (DM 8..9) = [121, 0].
[2026-02-15 16:12:27] Alteracao salva: TAG PECAROLLERCARGA42 (DM 10..11) = [121, 0].
[2026-02-15 16:12:27] Alteracao salva: TAG PECAROLLERDESC42 (DM 12..13) = [121, 0].
[2026-02-15 16:12:27] Alteracao salva: TAG PECAROLLERCARGA43 (DM 14..15) = [121, 0].
[2026-02-15 16:12:27] Alteracao salva: TAG PECAROLLERDESC43 (DM 16..17) = [128, 0].
[2026-02-15 16:12:28] Alteracao salva: TAG QUALIDADE41 (DM 18..19) = [128, 0].
[2026-02-15 16:12:28] Alteracao salva: TAG QUALIDADE42 (DM 20..21) = [129, 0].
[2026-02-15 16:12:29] Alteracao salva: TAG QUALIDADE43 (DM 22..23) = [129, 0].
[2026-02-15 16:12:30] Alteracao salva: TAG PECAPH29 (DM 0..1) = [129, 0].
[2026-02-15 16:12:31] Alteracao salva: TAG PECAPH30 (DM 2..3) = [131, 0].
[2026-02-15 16:12:31] Alteracao salva: TAG PECAPH31 (DM 4..5) = [131, 0].
[2026-02-15 16:12:31] Alteracao salva: TAG PECAROLLERCARGA41 (DM 6..7) = [132, 0].
[2026-02-15 16:12:32] Alteracao salva: TAG PECAROLLERDESC41 (DM 8..9) = [132, 0].
[2026-02-15 16:12:32] Alteracao salva: TAG PECAROLLERCARGA42 (DM 10..11) = [132, 0].
[2026-02-15 16:12:32] Alteracao salva: TAG PECAROLLERDESC42 (DM 12..13) = [132, 0].
[2026-02-15 16:12:33] Alteracao salva: TAG PECAROLLERCARGA43 (DM 14..15) = [133, 0].
[2026-02-15 16:12:33] Alteracao salva: TAG PECAROLLERDESC43 (DM 16..17) = [133, 0].
[2026-02-15 16:12:33] Alteracao salva: TAG QUALIDADE41 (DM 18..19) = [133, 0].
[2026-02-15 16:12:34] Alteracao salva: TAG QUALIDADE42 (DM 20..21) = [134, 0].
[2026-02-15 16:12:34] Alteracao salva: TAG QUALIDADE43 (DM 22..23) = [135, 0].
[2026-02-15 16:12:36] Alteracao salva: TAG PECAPH29 (DM 0..1) = [135, 0].
[2026-02-15 16:12:36] Alteracao salva: TAG PECAPH30 (DM 2..3) = [136, 0].
[2026-02-15 16:12:37] Alteracao salva: TAG PECAPH31 (DM 4..5) = [137, 0].
[2026-02-15 16:12:37] Alteracao salva: TAG PECAROLLERCARGA41 (DM 6..7) = [137, 0].
[2026-02-15 16:12:37] Alteracao salva: TAG PECAROLLERDESC41 (DM 8..9) = [144, 0].
[2026-02-15 16:12:38] Alteracao salva: TAG PECAROLLERCARGA42 (DM 10..11) = [144, 0].
[2026-02-15 16:12:38] Alteracao salva: TAG PECAROLLERDESC42 (DM 12..13) = [144, 0].
[2026-02-15 16:12:39] Alteracao salva: TAG PECAROLLERCARGA43 (DM 14..15) = [145, 0].
[2026-02-15 16:12:39] Alteracao salva: TAG PECAROLLERDESC43 (DM 16..17) = [145, 0].
[2026-02-15 16:12:39] Alteracao salva: TAG QUALIDADE41 (DM 18..19) = [146, 0].
[2026-02-15 16:12:40] Alteracao salva: TAG QUALIDADE42 (DM 20..21) = [146, 0].
[2026-02-15 16:12:40] Alteracao salva: TAG QUALIDADE43 (DM 22..23) = [146, 0].
[2026-02-15 16:12:41] Alteracao salva: TAG PECAPH29 (DM 0..1) = [147, 0].
[2026-02-15 16:12:42] Alteracao salva: TAG PECAPH30 (DM 2..3) = [148, 0].
[2026-02-15 16:12:42] Alteracao salva: TAG PECAPH31 (DM 4..5) = [149, 0].
[2026-02-15 16:12:43] Alteracao salva: TAG PECAROLLERCARGA41 (DM 6..7) = [149, 0].
[2026-02-15 16:12:43] Alteracao salva: TAG PECAROLLERDESC41 (DM 8..9) = [149, 0].
[2026-02-15 16:12:43] Alteracao salva: TAG PECAROLLERCARGA42 (DM 10..11) = [150, 0].
[2026-02-15 16:12:44] Alteracao salva: TAG PECAROLLERDESC42 (DM 12..13) = [150, 0].
[2026-02-15 16:12:44] Alteracao salva: TAG PECAROLLERCARGA43 (DM 14..15) = [150, 0].
[2026-02-15 16:12:45] Alteracao salva: TAG PECAROLLERDESC43 (DM 16..17) = [151, 0].
[2026-02-15 16:12:45] Alteracao salva: TAG QUALIDADE41 (DM 18..19) = [151, 0].
[2026-02-15 16:12:45] Alteracao salva: TAG QUALIDADE42 (DM 20..21) = [152, 0].
